Entity,Code,Year,Coal Production - TWh
Africa,,1981,909.9033433333332
Africa,,1982,998.7121947222222
Africa,,1983,1011.8727966666668
Africa,,1984,1128.4528458333332
Africa,,1985,1198.910662222222
Africa,,1986,1229.491193888889
Africa,,1987,1230.7749333333331
Africa,,1988,1264.931453611111
Africa,,1989,1228.4504005555557
Africa,,1990,1221.2260188888888
Africa,,1991,1244.8148102777775
Africa,,1992,1273.1393947222225
Africa,,1993,1296.9969405555555
Africa,,1994,1348.0317583333333
Africa,,1995,1416.04341
Africa,,1996,1411.6851802777776
Africa,,1997,1501.607581388889
Africa,,1998,1521.7465094444444
Africa,,1999,1519.3371783333334
Africa,,2000,1518.0176616666668
Africa,,2001,1514.2569430555557
Africa,,2002,1488.9234872222223
Africa,,2003,1599.9606094444446
Africa,,2004,1634.8584202777777
Africa,,2005,1645.393738611111
Africa,,2006,1634.157563888889
Africa,,2007,1633.5044844444444
Africa,,2008,1659.7474080555555
Africa,,2009,1645.727723888889
Africa,,2010,1706.9717883333333
Africa,,2011,1697.5177480555556
Africa,,2012,1766.9137822222222
Africa,,2013,1771.9929480555554
Africa,,2014,1831.7217183333328
Africa,,2015,1758.9639444444445
Africa,,2016,1782.0427219444443
Africa,,2017,1849.958605
Africa,,2018,1907.9033216666664
Africa,,2019,1898.7293758333333
Africa,,2020,1797.4649783333332
Asia Pacific,,1981,5779.086238888888
Asia Pacific,,1982,6076.253219444445
Asia Pacific,,1983,6433.60385
Asia Pacific,,1984,6965.853261111111
Asia Pacific,,1985,7708.579858333333
Asia Pacific,,1986,7978.928438888889
Asia Pacific,,1987,8299.696922222221
Asia Pacific,,1988,8641.846033333333
Asia Pacific,,1989,9265.44893611111
Asia Pacific,,1990,9534.057525
Asia Pacific,,1991,9720.994841666668
Asia Pacific,,1992,10056.278833333332
Asia Pacific,,1993,10319.89277777778
Asia Pacific,,1994,10900.698683333332
Asia Pacific,,1995,11816.443841666664
Asia Pacific,,1996,12238.811105555556
Asia Pacific,,1997,12411.1455
Asia Pacific,,1998,12139.653013888888
Asia Pacific,,1999,12475.035752777778
Asia Pacific,,2000,12979.74253888889
Asia Pacific,,2001,13782.383127777775
Asia Pacific,,2002,14601.391563888888
Asia Pacific,,2003,16544.380319444444
Asia Pacific,,2004,18872.62389722222
Asia Pacific,,2005,20862.300422222223
Asia Pacific,,2006,22342.563402777778
Asia Pacific,,2007,24015.516394444447
Asia Pacific,,2008,25068.34459722222
Asia Pacific,,2009,26036.116730555557
Asia Pacific,,2010,27902.001
Asia Pacific,,2011,30600.78819444444
Asia Pacific,,2012,31321.964472222226
Asia Pacific,,2013,32421.60733333333
Asia Pacific,,2014,32304.171388888888
Asia Pacific,,2015,32056.44677777777
Asia Pacific,,2016,30579.63011111111
Asia Pacific,,2017,31225.388194444444
Asia Pacific,,2018,33329.654444444444
Asia Pacific,,2019,34670.58861111111
Asia Pacific,,2020,34339.17113888889
Australia,AUS,1981,788.5712011111111
Australia,AUS,1982,804.9543041666666
Australia,AUS,1983,838.7407188888889
Australia,AUS,1984,880.9173219444443
Australia,AUS,1985,1074.3456702777778
Australia,AUS,1986,1142.859530833333
Australia,AUS,1987,1193.6675458333334
Australia,AUS,1988,1173.2935125
Australia,AUS,1989,1274.6780002777778
Australia,AUS,1990,1334.6012127777778
Australia,AUS,1991,1384.4242752777775
Australia,AUS,1992,1477.2352544444443
Australia,AUS,1993,1484.100065
Australia,AUS,1994,1516.9103519444443
Australia,AUS,1995,1591.8179891666666
Australia,AUS,1996,1640.6822566666667
Australia,AUS,1997,1789.1142891666666
Australia,AUS,1998,1832.1017852777777
Australia,AUS,1999,1931.9179208333333
Australia,AUS,2000,1996.8197844444444
Australia,AUS,2001,2157.920964722222
Australia,AUS,2002,2224.0463311111107
Australia,AUS,2003,2299.047704444444
Australia,AUS,2004,2388.8310366666665
Australia,AUS,2005,2501.288445
Australia,AUS,2006,2556.8404677777776
Australia,AUS,2007,2640.855274444444
Australia,AUS,2008,2720.621501388889
Australia,AUS,2009,2822.833886111111
Australia,AUS,2010,2914.7894666666666
Australia,AUS,2011,2850.8133666666668
Australia,AUS,2012,3091.909191666666
Australia,AUS,2013,3323.743272222222
Australia,AUS,2014,3559.449597222222
Australia,AUS,2015,3555.7026166666665
Australia,AUS,2016,3563.055752777778
Australia,AUS,2017,3473.3133916666666
Australia,AUS,2018,3636.380155555556
Australia,AUS,2019,3669.877677777778
Australia,AUS,2020,3451.008913888889
Brazil,BRA,1981,33.74405888888889
Brazil,BRA,1982,37.195046111111104
Brazil,BRA,1983,39.68397555555556
Brazil,BRA,1984,44.53918777777778
Brazil,BRA,1985,45.45385222222222
Brazil,BRA,1986,43.10174527777777
Brazil,BRA,1987,39.26487916666666
Brazil,BRA,1988,42.77326166666667
Brazil,BRA,1989,38.6034775
Brazil,BRA,1990,19.620711666666665
Brazil,BRA,1991,23.47046583333333
Brazil,BRA,1992,21.972292222222222
Brazil,BRA,1993,21.837795
Brazil,BRA,1994,24.354949722222223
Brazil,BRA,1995,23.892641666666663
Brazil,BRA,1996,22.26761083333333
Brazil,BRA,1997,26.05589222222222
Brazil,BRA,1998,25.49710805555556
Brazil,BRA,1999,26.12403972222222
Brazil,BRA,2000,31.22725388888889
Brazil,BRA,2001,26.80880583333333
Brazil,BRA,2002,29.793071388888887
Brazil,BRA,2003,27.19624083333333
Brazil,BRA,2004,31.538048888888888
Brazil,BRA,2005,33.07119222222222
Brazil,BRA,2006,33.04171
Brazil,BRA,2007,34.01414972222222
Brazil,BRA,2008,37.86603777777778
Brazil,BRA,2009,35.402791944444445
Brazil,BRA,2010,31.785671666666666
Brazil,BRA,2011,31.811421111111112
