Year,China,India,United States,Japan,EU27
1978,12853.31012,1600.937083,14741.83186,1969.124174,0
1979,13171.38588,1754.340342,15260.18855,2172.820921,0
1980,13092.68778,1855.141869,15873.15362,2540.958051,0
1981,13035.46449,2092.322066,16141.70048,2841.987104,0
1982,13764.75467,2252.129124,15568.47138,2791.271591,0
1983,14590.46052,2376.765827,16137.47035,2664.719022,0
1984,16068.1502,2583.792335,17155.2775,3008.006473,0
1985,16392.95039,2734.515544,17794.37268,3148.705452,0
1986,17091.89114,2956.733325,17293.10757,3007.705123,
1987,18260.02278,3198.586201,18244.15126,2928.57601,
1988,19546.9957,3408.949572,18973.34816,3228.477834,
1989,19907.44891,3645.197436,19204.52886,3201.136075,
1990,21893.92471,3876.714911,19236.05375,3269.39242,16004.8442
1991,21006.84565,4188.010211,19021.84809,3376.335936,15151.78744
1992,21680.07399,4406.702853,19231.59885,3272.575992,14145.92559
1993,23179.15052,4625.09306,19739.32209,3292.241529,13362.24487
1994,24872.85244,4865.768512,19843.89726,3475.896977,13023.3166
1995,27478.39637,5129.635076,19792.81892,3599.169846,12922.2764
1996,27942.72321,5332.305867,20541.71057,3653.825606,12938.23855
1997,27007.22343,5529.111836,21069.6659,3742.676507,12556.10747
1998,27493.10109,5519.005989,21141.13698,3549.615966,11980.67786
1999,27521.82709,5878.440446,21329.23003,3730.290725,11325.02787
2000,28166.80028,6041.423991,22252.91577,4076.881419,11501.95074
2001,29661.05928,6174.513721,21918.16679,4187.266657,11455.08458
2002,32057.59697,6390.885289,22228.57603,4349.651657,11420.79667
2003,38211.00448,6539.270572,22181.50569,4497.968117,11761.83784
2004,44174.59595,7253.264266,22943.11706,4894.757027,11792.37401
2005,50768.03877,7643.64934,23292.64703,4626.200105,11434.04522
2006,56461.65094,8092.081272,22947.11403,4674.98371,11770.54091
2007,61858.16012,8826.964971,23152.20839,4879.267216,11811.13911
2008,62958.5511,9762.660091,22764.16632,4823.950004,10972.9761
2009,67809.09761,10840.88354,20295.01698,4285.578984,9743.963002
2010,74949.10258,11660.86082,21001.26443,4850.689756,10215.07922
2011,81629.88301,12307.50488,20001.52329,4558.947218,10488.87471
2012,82899.39611,13615.4313,17729.69985,4765.649011,10483.37501
2013,85478.35409,14328.5962,18120.24841,5099.841011,10249.49701
2014,85792.87503,15992.34323,18092.88516,4891.947404,9743.374464
2015,83920.43173,15698.34485,15694.90648,4986.033877,9820.183035
2016,80532.19804,15423.84473,14299.2538,4936.334556,9443.445145
2017,81795.13853,16369.49169,13877.24189,4976.735882,9217.450072
2018,84716.82002,17321.24876,13447.71833,4899.979906,8873.803712
2019,86940.21362,17414.52287,11534.84352,4854.616899,7148.826353
2020,87638.04994,16530.61057,9421.229997,4753.68765,5841.457156
