,index,country,year,co2,population,gdp,primary_energy_consumption,Coal Production - TWh,Oil Consumption - TWh,Coal Consumption - TWh,Cars Produced - Thousands
0,82,China,1981,1476.488,1014022211.0,1949955282000.0,4790.988,3614.604,960.4063822222222,3.6209623583333332,U
1,83,China,1982,1606.585,1027948989.0,2128597968000.0,5002.704,3874.5345,950.9188161111113,3.823542963888889,0
2,84,China,1983,1694.217,1042431401.0,2278862376000.0,5324.027,4154.8175,971.9111505555557,4.0529057,0
3,85,China,1984,1844.828,1058171973.0,2534000300000.0,5712.497,4589.198,1007.7962963888888,4.463375055555556,0
4,86,China,1985,1998.083,1075589363.0,2752673760000.0,6178.478,5072.4245,1055.259253888889,4.553597330555556,0
5,87,China,1986,2104.213,1095014106.0,2931538920000.0,6475.321,5198.61,1122.5739988888888,4.747747538888889,0
6,88,China,1987,2257.739,1116095475.0,3177306585000.0,6983.141,5396.9015,1193.055565,5.07222855,0
7,89,China,1988,2425.894,1137724234.0,3354463350000.0,7500.799,5698.1185,1282.6026997222225,5.429721027777777,0
8,90,China,1989,2463.654,1158357393.0,3380560300000.0,7870.667,6130.173,1343.1707955555555,5.529846919444444,0
9,91,China,1990,2484.855,1176883681.0,3385121670000.0,7972.531,6279.519644444445,1331.5683305555556,6.081645752777778,0
10,92,China,1991,2606.096,1192897277.0,3508947838839.58,8375.788,6323.265888888889,1439.6677675,5.835234902777778,709.0
11,93,China,1992,2730.788,1206711243.0,3755037488097.59,8820.231,6491.749699999999,1565.881279166667,6.0222427750000005,0
12,94,China,1993,2921.651,1218817059.0,4126169580711.49,9497.178,6691.146049999999,1730.6695080555555,6.438652922222222,0
13,95,China,1994,3100.002,1230020026.0,4438753432049.77,10081.194,7210.024313888889,1754.1200030555556,6.909125677777777,1353.0
14,96,China,1995,3357.909,1240920539.0,4810000052949.3,10390.963,7912.650763888889,1900.1698066666668,7.632887880555555,1435.0
15,97,China,1996,3503.234,1251636178.0,5127589667244.04,10932.141,8121.80701111111,2082.869347777778,7.761867558333333,1466.0
16,98,China,1997,3510.169,1261996017.0,5291338890182.24,10995.762,8068.494508333333,2273.275080833333,7.5020065083333325,1578.0
17,99,China,1998,3360.455,1271982349.0,5338703047530.52,11010.818,7745.746308333333,2335.3745377777777,7.636972525,1628.0
18,100,China,1999,3350.34,1281514833.0,5578502931607.12,11396.786,7931.6443,2485.169459166667,7.6449519694444446,1805.0
19,101,China,2000,3439.152,1290550767.0,5952682333616.4,11792.554,8226.111591666666,2661.136997222222,7.824111188888889,2009.0
20,102,China,2001,3514.934,1299129747.0,6329737195923.64,12456.115,8715.22973888889,2720.8675927777776,8.239183133333334,2331.776
21,103,China,2002,3872.595,1307352256.0,6814493761716.04,13567.957,9307.321841666666,2938.008313888889,8.904888047222222,3251.225
22,104,China,2003,4545.014,1315303522.0,7248622636565.2,15798.685,10994.301994444444,3271.5244583333333,10.614167911111112,4443.686
